	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	whole blood		immunophenotyping; multiparametric flow cytometry	HLA-DR+ CD38+ memory CD8+ T cells; CD38+ memory CD8+ T cells		cell type frequency	up	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	29	64	years	19	whole blood		immunophenotyping; multiparametric flow cytometry	HLA-DR+ CD38+ memory CD8+ T cells		cell type frequency	up	moderate COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5B	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	29	81	years	21	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; multiparametric flow cytometry	PD-1+ CD38+ Perf+ Granz B+ cytotoxic memory CD8+ T cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 5F	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F5.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	53	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; z-scored scaled flow cytometry; hierarchical clustering	HLA_DRMF1_inMonocytes; HLA_DR_MFI_inBcells; HLA_DR_MFI_inDC; CD16p_MFI_inMonocytes; CD16p_MFI_inNeutrophils; CD16p_MFI_inNK; CD161p_MFI_inMemCD8; CD14MFI_inMonocytes; DC_inCD45; HLA_DRp_inNeutrophils; Bc_inCD45; Monocytes_inCD45; Ttm_CD8; Ttm_CD4; CD27p_temRA; Ki67p_inCD21pCD27nBc; Ki67p_inCD21pCD27pBc; CD16p_inMonocytes; CXCR5p_MemCD8; CXCR5p_inTemRA_CD8; CXCR5p_inTtm_CD4; CXCR5p_inTem_CD4; CXCR5p_inTcm_CD4; Tc_inCD45; ILC_inCD45; CD15_MFI_inNeutrophils; CD56hiCD16n_NK; Tem_CD8; nonnconvMo_inMonocytes; intMo_inMonocytes; Tem_CD4		cell type frequency	down	severe COVID-19 patients vs healthy, moderate COVID-19, & recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 6a	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F6.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	53	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; z-scored scaled flow cytometry; hierarchical clustering	CD11cp_inCD21pCD27pBc; Ki67p_inTem_CD4; Ki67p_inTcm_CD4; Ki67p_inTtm_CD4; Ki67p_inTem_CD8; Ki67p_inTemRA_CD8; Ki67p_inTcm_CD8; CD38p_inTcm_CD8; HLA_DRpCD38p_inNK; Tregs_inMemCD4; CD161pCD38p_inNK; CD69p_MemCD8; CD69p_MemCD4; CD25p_MemCD8; Tcm_CD8; CD11cp_inCD21pCD27nBc; CD21nCD27p_inBc; CD69pKi67p_MemCD8; HLA_DRpCD38p_incTfh_CD4; CD123p_nonILC; CXCR5p_MemCD4; cTfh_MemCD4; cTfh_MemCD4; CD38p_MemCD8; CD38p_MemCD4; Ki67p_MemCD8; Ki67p_MemCD4; CXCR5p_inTtm_CD8; CXCR5p_inTcm_CD8; Eosinophils_inCD45; CXCR5p_inTem_CD8; HLA_DRpCD38p_inTem_CD8; HLA_DRpCD38p_inTemRA_CD8; Ki67p_inTtm_CD8; HLA_DRpCD38p_inTtm_CD8; CD38p_inTtm_CD8; CD38p_inTem_CD8; CD38p_inTemRA_CD8; CD69pKi67p_MemCD4; Ki67p_CD21nCD27nBc; Ki67p_CD21nCD27pBc; CD16p_MFI_nonILC; HLA_DRpCD38p_MemCD4; HLA_DRp_MemCD4; PD1p_inTemRA_CD8; PD1p_inTem_CD8; PD1p_inTcm_CD4; PD1p_inTtm_CD4; PD1p_inTem_CD4; PD1p_inTcm_CD8; PD1p_inTtm_CD8; Ki67p_inNeutrophils; HLA_DRp_inTemRA_CD8; HLA_DRp_inTcm_CD8; HLA_DRp_inTtm_CD8; HLA_DRp_inTem_CD8; HLA_DRp_MemCD8; HLA_DRpCD38p_MemCD8; CD38p_inTem_CD4; HLA_DRpCD38p_inTem_CD4; HLA_DRp_inTem_CD4; HLA_DRp_inTtm_CD4; HLA_DRpCD38p_inTtm_CD4; HLA_DRpCD38p_inTcm_CD4; HLA_DRp_inTcm_CD4; Plasmablast_inBc; CD38p_inTtm_CD4; Neutrophils_inCD45; PD1p_MemCD4; PD1p_MemCD8; CXCR5p_MemCD8; CD161p_inMonocytes; Tem_CD4; CD27n_TemRA; TemRA_CD8; TemRA_CD4		cell type frequency	up	severe COVID-19 patients vs healthy, moderate COVID-19, & recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 6a	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F6.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	53	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; z-scored scaled flow cytometry; hierarchical clustering	nonILC_inCD45; CD21nCD27n_inBc; Ki67p_nonILC		cell type frequency	up	moderate COVID-19 patients vs healthy, severe COVID-19, & recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 6a	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F6.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	53	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; z-scored scaled flow cytometry; hierarchical clustering	CD11cp_nonILC; CD16p_inNK		cell type frequency	down	severe COVID-19 patients vs healthy, moderate COVID-19, & recovered COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 6a	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F6.large.jpg		
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	53	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; z-scored scaled flow cytometry; hierarchical clustering	Neutrophils_inCD45; PD1p_MemCD8; PD1p_MemCD4		cell type frequency	down	moderate COVID-19 patients & healthy patients vs severe & recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig 6a	https://immunology.sciencemag.org/content/immunology/5/49/eabd7114/F6.large.jpg		
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		immunophenotyping; flow cytometry	D-dimer, procalcintonin, ferritin		protein/cytokine levels	up	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S1H	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1		
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	Peripheral Blood Mononuclear Cells (PBMCs)		Complete Blood Counts (CBCs)	whole blood cells (WBCs); polymorphonuclear leukocytes (PMNs)		cell type frequency	up	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S1J	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1		
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	viable CD45+ cells		immunophenotyping; flow cytometry; CBCs; Spearman's correlations	PD-1+ Memory CD4+ T cells; HLA-DR+ Memory CD8+ T cells; HLA-DR+ Memory CD4+ T cells		cell type frequency	positively correlated	correlated with APACHE III score in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S1L	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-significant higher APACHE III score in severe COVID-19 patients vs moderate COVID-19 patients, APACHE III score positively correlated with age of patient	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	viable CD45+ cells		immunophenotyping; flow cytometry; CBCs; Spearman's correlations	T cells; CD8+ mucosal-associated invariant T (MAIT) cells; Natural Killer (NK) cells; B cells		cell type frequency	negatively correlated	correlated with APACHE III score in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S1K	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-significant higher APACHE III score in severe COVID-19 patients vs moderate COVID-19 patients, APACHE III score positively correlated with age of patient	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	viable CD45+ cells		multiparametric flow cytometry; Spearman's correlations	immature granulocytes		cell type frequency	negatively correlated	correlated with days since onset of symptoms in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3C	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent immature granulocytes within viable CD45+ cells	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	neutrophils		MFI	CD15		protein/cytokine levels	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3B	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as CD15 MFI within total neutrophils	
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	neutrophils		MFI	CD16		protein/cytokine levels	down	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3B	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as CD15 MFI within total eosinophils	
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	viable CD45+ cells		multiparametric flow cytometry	conventional (CD11c+ CD123lo/-) dendritic cells (DC); plasmacytoid (CD11c- CD123+) dendritic cells (DC)		cell type frequency	down	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3F	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in viable CD45+ cells	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	CD3- CD19- cells		multiparametric flow cytometry	conventional (CD11c+ CD123lo/-) dendritic cells (DC); plasmacytoid (CD11c- CD123+) dendritic cells (DC)		cell type frequency	down	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3F	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in viable CD45+ cells	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	CD3- CD19- cells		multiparametric flow cytometry	conventional (CD11c+ CD123lo/-) dendritic cells (DC); plasmacytoid (CD11c- CD123+) dendritic cells (DC)		cell type frequency	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3F	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in viable CD45+ cells	
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	CD3- CD19- cells		multiparametric flow cytometry	CD56bright CD16- Natural Killer (NK) cells; CD56dim CD16+ Natural Killer (NK) cells		cell type frequency	down	severe COVID-19 patients vs recovered COVID-19 patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3G	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in CD3- CD19- cells	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	CD3- CD19- cells		multiparametric flow cytometry	CD56dim CD16+ Natural Killer (NK) cells		cell type frequency	down	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3G	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in CD3- CD19- cells	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	CD3- CD19- cells		multiparametric flow cytometry	CD56bright CD16- Natural Killer (NK) cells; CD56dim CD16+ Natural Killer (NK) cells		cell type frequency	down	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S3G	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	-measured as percent in CD3- CD19- cells	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	T cells		multiparametric flow cytometry; Spearman's correlations	central memory CD4 T cells; central memory CD4 T cells		cell type frequency	negatively correlated	correlated with days since onset of symptoms in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4E	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	T cells		multiparametric flow cytometry; Spearman's correlations	PD-1+ Memory CD4+ T cells		cell type frequency	positively correlated	correlated with age in years in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4E	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	T cells		multiparametric flow cytometry; Spearman's correlations	HLA-DR+ CD4+ cTfh cells; HLA-DR+ CD38+ CD4+ cTfh cells; CD38+ CD8+ mucosal-associated invariant T (MAIT) cells; HLA-DR+ CD8+ mucosal-associated invariant T (MAIT) cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4G-I	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	Perf+ Granz B+ CD8+ T cells		multiparametric flow cytometry; Spearman's correlations	CD38+ cells		cell type frequency	up	severe COVID-19 patients vs healthy patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4K	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent in Perf+ Granz B+ CD8+ T cells	
	Amani	Simranpreet		Philadelphia, PA, USA	20	81	years	34	T cells		multiparametric flow cytometry; Spearman's correlations	CD69+ CD8+ mucosal-associated invariant T (MAIT) cells		cell type frequency	up	severe COVID-19 patients vs recovered patients	time since onset of symptoms	1 to 32	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute & post-infection	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4H	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	T cells		multiparametric flow cytometry; Spearman's correlations	Ki-67+ CD8+ mucosal-associated invariant T (MAIT) cells		cell type frequency	up	severe COVID-19 patients vs moderate COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S4H	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Moderate & Severe COVID-19 Patients in Philadelphia, PA, USA	29	81	years	34	B cells		flow cytometry; Spearman's correlations	CD21+ CD27+ non-plasmablast B cells		cell type frequency	positively correlated	correlated with age in years in moderate & severe COVID-19 patients	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S5D	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as percent of	
	Amani	Simranpreet		Philadelphia, PA, USA	24	81	years	39	CD21+ CD27+ non-plasmablast B cells		flow cytometry; MFI	CD21		protein/cytokine levels	down	severe COVID-19 patients vs healthy patients 	time since onset of symptoms	1 to 25	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32669287	(2020-06-15)	https://immunology.sciencemag.org/content/5/49/eabd7114	Fig S5C	https://immunology.sciencemag.org/content/suppl/2020/07/15/5.49.eabd7114.DC1	measured as CD21 MFI in total non-plasmablast B cells	
