""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"natural killer cell (CD19+,CD45+)"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by infection with either SARS-CoV-2 or 2009 H1N1 influenza (Athens, Greece)"	"57"	"78.6"	"years"	"21"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD19+ CD45+ lymphocytes"	""	"cell-type frequency"	"up"	"SARS-CoV-2 CAP patients with severe respiratory failure vs 2009 H1N1 CAP patients with severe respiratory failure"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 2J"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL_0000623"	"(CD19+,CD45+)"	"PR:000001002,PR:000001006"	"natural killer cell (CD19+,CD45+)"	"1"	"1"	"32320677_31_1021"
""	"lymphocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"54"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	""	"lymphocyte"	""	"cell-type frequency"	"positively correlated"	"absolute number of mHLA-DR/CD14 monocytes"	"time of hospital admission"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 5B"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL:0000542"	""	""	"lymphocyte"	"1"	"1"	"32320677_32_1039"
""	"lymphocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"immunomodulatory therapy w/ Tocilizumab"	"lymphocyte"	""	"cell-type frequency"	"up"	"24 hours post-treatment vs pre-treatment with immunomodulatory therapy Tocilizumab in SARS-CoV-2 patients w/ immune dysregulation"	"start of immunomodulatory therapy with Tocilizumab"	"24"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 5G"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL:0000542"	""	""	"lymphocyte"	"1"	"1"	"32320677_34_1044"
""	"lymphocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"immunomodulatory therapy w/ Tocilizumab"	"lymphocyte"	""	"cell-type frequency"	"up"	"72h vs 24h after the start of immunomodulatory therapy with Tocilizumab in SARS-CoV-2 patients w/ immune dysregulation"	"start of immunomodulatory therapy with Tocilizumab"	"24 and 72"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 5G"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL:0000542"	""	""	"lymphocyte"	"1"	"1"	"32320677_35_1045"
""	"lymphocyte"	"2021-07-11"	"patients with community-acquired pneumonia (CAP) caused by SARS-CoV-2 infection (Athens, Greece)"	"48.9"	"78.6"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"immunomodulatory therapy w/ Tocilizumab"	"lymphocyte"	""	"cell-type frequency"	"up"	"72 hours post-treatment vs pre-treatment with immunomodulatory therapy Tocilizumab in SARS-CoV-2 patients w/ immune dysregulation"	"start of immunomodulatory therapy with Tocilizumab"	"72"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32320677"	"2020-04-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172841/"	"Fig 5G"	"Significant changes were observed in the absolute number of the given cell(s)."	"CL:0000542"	""	""	"lymphocyte"	"1"	"1"	"32320677_36_1046"
""	"plasma cell (CD27++,CD38++)"	""	"ICU COVID-19 adult patients and healthy controls"	"42"	"91"	"years"	"13"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"FACS"	"CD27high CD38high B cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients vs healthy controls"	"time of ICU admission"	"3-31"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33785765"	"2021-03-30"	"https://www.nature.com/articles/s41467-021-22210-3"	"Fig 1A"	"Significant changes were observed in the percentage of the given cell(s)."	"CL_0000786"	"(CD27++,CD38++)"	"PR:000001963,PR:000001408"	"plasma cell (CD27++,CD38++)"	"1"	"1"	"33785765_1_1047"
""	"plasma cell (CD27++,CD38++,IGA2+)"	""	"ICU COVID-19 adult patients and healthy controls"	"58"	"91"	"years"	"14"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"ELISA; cytometric serology"	"IgA2+ CD27high CD38high B cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients with samples more than 7 days after ICU admission (Late) vs severe COVID-19 patients with samples within 7 days after ICU admission (1st week)"	"time of ICU admission"	"3-31"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33785765"	"2021-03-30"	"https://www.nature.com/articles/s41467-021-22210-3"	"Fig 2B"	"Significant changes were observed in the percentage of the given cell(s)."	"CL_0000786"	"(CD27++,CD38++,IGA2+)"	"PR:000001963,PR:000001408,PR:000050180"	"plasma cell (CD27++,CD38++,IGA2+)"	"1"	"1"	"33785765_2_1048"
""	"plasmablast (IgA2+,CD27+,CD38+)"	""	"ICU COVID-19 adult patients and healthy controls"	"42"	"91"	"years"	"14"	"autopsied lung tissue"	"UBERON:0002048"	"MELC"	"IgA2+ CD27+ CD38+ plasmablasts"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs healthy controls"	"time of ICU admission"	"3-31"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33785765"	"2021-03-30"	"https://www.nature.com/articles/s41467-021-22210-3"	"Fig 6A-B"	"Significant changes were observed in the absolute numbers of the given cell(s) per image in 6A."	"CL_0000980"	"(IgA2+,CD27+,CD38+)"	"PR:000050180,PR:000001963,PR:000001408"	"plasmablast (IgA2+,CD27+,CD38+)"	"1"	"1"	"33785765_3_1050"
""	"CD8-positive, alpha-beta memory T cell"	""	"COVID-19 adult patients"	"22"	"82"	"years"	"39"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"FACS"	"memory CD8+ T cells"	""	"cell-type frequency"	"up"	"hospitalized patients with severe disease (N=22) vs non-hospitalized patients with mild disease (N=17)"	"time of symptom onset"	"2-47"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33478949"	"2021-01-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8101257/"	"Fig 1B"	""	"CL_0000909"	""	""	"CD8-positive, alpha-beta memory T cell"	"1"	"1"	"33478949_1_1051"
""	"lymphocyte"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"lymphocytes"	""	"cell-type frequency"	"down"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32 (avg. 11)"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Suppl Fig 1"	""	"CL_0000542"	""	""	"lymphocyte"	"1"	"1"	"32650275_22_1052"
""	"lymphocyte"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"lymphocytes"	""	"cell-type frequency"	"down"	"severe disease vs mild disease"	"time of symptom onset"	"2-32 (avg. 11)"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Suppl Fig 1"	""	"CL_0000542"	""	""	"lymphocyte"	"1"	"1"	"32650275_23_1053"
""	"lymphocyte"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"lymphocytes"	""	"cell-type frequency"	"down"	"mild disease vs healthy control"	"time of symptom onset"	"2-32 (avg. 11)"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Suppl Fig 1"	""	"CL_0000542"	""	""	"lymphocyte"	"1"	"1"	"32650275_24_1054"
""	"b cell; natural killer cell; mature nk t cell; mature gamma-delta T cell; gamma-delta T cell (Vgamma9-); gamma-delta T cell (Vgamma9+); CD8-positive, alpha-beta T cell; CD4-positive, alpha-beta T cell; regulatory T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"B cells; NK cells; NK T cells; TCRgammadelta+ cells; Vgamma9- cells; Vgamma9+ cells; CD8+ T cells; CD4+ T cells; regulatory T cells"	""	"cell-type frequency"	"down"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 1"	""	"CL_0000236; CL_0000623; CL_0000814; CL_0000800; CL_0000798; CL:0000625; CL:0000624; CL_0000815"	"; (Vgamma9-); (Vgamma9+)"	"; PR:Q99603"	"b cell; natural killer cell; mature nk t cell; mature gamma-delta T cell; gamma-delta T cell (Vgamma9-); gamma-delta T cell (Vgamma9+); CD8-positive, alpha-beta T cell; CD4-positive, alpha-beta T cell; regulatory T cell"	"9"	"9"	"32650275_25_1055"
""	"natural killer cell; mature nk t cell; mature gamma-delta T cell; CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"NK cells; NK T cells; TCRgammadelta+ cells; CD8+ T cells"	""	"cell-type frequency"	"down"	"severe disease vs mild disease"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 1"	""	"CL_0000623; CL_0000814; CL_0000800; CL:0000625"	""	""	"natural killer cell; mature nk t cell; mature gamma-delta T cell; CD8-positive, alpha-beta T cell"	"4"	"4"	"32650275_26_1056"
""	"b cell; regulatory T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"B cells; regulatory T cells"	""	"cell-type frequency"	"down"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 1"	""	"CL_0000236; CL_0000815"	""	""	"b cell; regulatory T cell"	"2"	"2"	"32650275_27_1057"
""	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"effector/effector memory (CD45RA- CD62L-) CD4+ T cells"	""	"cell-type frequency"	"down"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2A, Suppl Fig 3A"	""	"CL_0000905"	"(CD45RA-,CD62L-)"	"PR:000001015,PR:000001318"	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	"1"	"1"	"32650275_28_1058"
""	"effector memory CD4-positive, alpha-beta T cell, terminally differentiated (CD45RA+,CD62L-)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"terminally differentiated (CD45RA+ CD62L-) CD4+ T cells"	""	"cell-type frequency"	"up"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2A, Suppl Fig 3A"	""	"CL_0001087"	"(CD45RA+,CD62L-)"	"PR:000001015,PR:000001318"	"effector memory CD4-positive, alpha-beta T cell, terminally differentiated (CD45RA+,CD62L-)"	"1"	"1"	"32650275_29_1059"
""	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"effector/effector memory (CD45RA- CD62L-) CD4+ T cells"	""	"cell-type frequency"	"down"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2A, Suppl Fig 3A"	""	"CL_0000905"	"(CD45RA-,CD62L-)"	"PR:000001015,PR:000001318"	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	"1"	"1"	"32650275_30_1060"
""	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"effector/effector memory (CD45RA- CD62L-) CD4+ T cells"	""	"cell-type frequency"	"down"	"severe disease vs mild disease"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2A, Suppl Fig 3A"	""	"CL_0000905"	"(CD45RA-,CD62L-)"	"PR:000001015,PR:000001318"	"effector memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L-)"	"1"	"1"	"32650275_31_1061"
""	"effector memory CD4-positive, alpha-beta T cell, terminally differentiated (CD45RA+,CD62L-); central memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L+)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"terminally differentiated (CD45RA+ CD62L-) CD4+ T cells; central memory (CD45RA- CD62L+) CD4+ T cells"	""	"cell-type frequency"	"up"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2A, Suppl Fig 3A"	""	"CL_0001087; CL_0000904"	"(CD45RA+,CD62L-); (CD45RA-,CD62L+)"	"PR:000001015,PR:000001318"	"effector memory CD4-positive, alpha-beta T cell, terminally differentiated (CD45RA+,CD62L-); central memory CD4-positive, alpha-beta T cell (CD45RA-,CD62L+)"	"2"	"2"	"32650275_32_1062"
""	"naive thymus-derived CD8-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ naive T cells; CD8+ effector/effector memory T cells"	""	"cell-type frequency"	"up"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B"	""	"CL_0000900; CL_0000913"	""	""	"naive thymus-derived CD8-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell"	"2"	"2"	"32650275_33_1063"
""	"central memory CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ central memory T cells"	""	"cell-type frequency"	"down"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B, Suppl Fig 3B"	""	"CL_0000907"	""	""	"central memory CD8-positive, alpha-beta T cell"	"1"	"1"	"32650275_34_1064"
""	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ terminally differentiated T cells"	""	"cell-type frequency"	"down"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B"	""	"CL_0001062"	""	""	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	"1"	"1"	"32650275_35_1065"
""	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ terminally differentiated T cells"	""	"cell-type frequency"	"down"	"severe disease vs mild disease"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Suppl Fig 2B"	""	"CL_0001062"	""	""	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	"1"	"1"	"32650275_36_1066"
""	"naive thymus-derived CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ naive T cells"	""	"cell-type frequency"	"down"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B"	""	"CL_0000900"	""	""	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"1"	"32650275_37_1067"
""	"effector memory CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ effector/effector memory T cells"	""	"cell-type frequency"	"up"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B, Suppl Fig 3B"	""	"CL_0000913"	""	""	"effector memory CD8-positive, alpha-beta T cell"	"1"	"1"	"32650275_38_1068"
""	"naive thymus-derived CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ naive T cells"	""	"cell-type frequency"	"up"	"severe disease vs mild disease"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B, Suppl Fig 3B"	""	"CL_0000900"	""	""	"naive thymus-derived CD8-positive, alpha-beta T cell"	"1"	"1"	"32650275_39_1069"
""	"effector memory CD8-positive, alpha-beta T cell"	""	"COVID-19 adult patients  (Hannover, Germany)"	"19"	"91"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	""	"CD8+ effector/effector memory T cells"	""	"cell-type frequency"	"down"	"severe disease vs mild disease"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 2B, Suppl Fig 3B"	""	"CL_0000913"	""	""	"effector memory CD8-positive, alpha-beta T cell"	"1"	"1"	"32650275_40_1070"
""	"immature gamma-delta T cell (CD45RA+,CD62L+)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"naive-like (CD45RA+ CD62L+) TCRgammadelta T cells"	""	"cell-type frequency"	"up"	"severe disease vs healthy controls"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 3A-B"	""	"CL_0000799"	"(CD45RA+,CD62L+)"	"PR:000001015,PR:000001318"	"immature gamma-delta T cell (CD45RA+,CD62L+)"	"1"	"1"	"32650275_41_1071"
""	"immature gamma-delta T cell (CD45RA+,CD62L+)"	""	"COVID-19 adult patients and healthy controls (Hannover, Germany)"	"19"	"91"	"years"	"75"	"Whole Blood"	"UBERON:0000178"	""	"naive-like (CD45RA+ CD62L+) TCRgammadelta T cells"	""	"cell-type frequency"	"up"	"mild disease vs healthy control"	"time of symptom onset"	"2-32"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32650275"	"2020-07-07"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338277/"	"Fig 3A-B"	""	"CL_0000799"	"(CD45RA+,CD62L+)"	"PR:000001015,PR:000001318"	"immature gamma-delta T cell (CD45RA+,CD62L+)"	"1"	"1"	"32650275_42_1072"
